created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Jan 14 06:19:23 +0000 2014;422976218649341953;"Mengapa siakad unj dari semster ke semster selalu tanpa perubahan yg ... — percuma ngkritik UNJ, gada yg mau denger http://t.co/aW5sT9g33t";0;0;0;0;in;135519062;422976218649341953;dymaspratama;https://twitter.com/dymaspratama/status/422976218649341953
Tue Jan 14 05:03:01 +0000 2014;422957000721301504;"sabar ya, @RiaVinola_minoz: siakad unj bikin greget u,u";0;0;0;0;in;1552821486;422957000721301504;indryolalaII;https://twitter.com/indryolalaII/status/422957000721301504
Tue Jan 14 03:51:45 +0000 2014;422939064698798080;"Ida @ida_NurHidayati nih RT @HMJ_TP_UNJ: "@bemfipunj: Jadwal akses siakad terbaru http://t.co/L3ATa5lc2j"";0;1;0;0;in;330366683;422939064698798080;segelasalmond;https://twitter.com/segelasalmond/status/422939064698798080
Tue Jan 14 03:17:40 +0000 2014;422930486743146497;"Wah kayaknya pada pusing sama siakad yah, mending pantengin TL kita dulu buat info-info menarik seputar CHARITY CONCERT #KonserAmal2014";0;0;1;0;in;856076682;422930486743146497;EventPsi_UNJ;https://twitter.com/EventPsi_UNJ/status/422930486743146497
Tue Jan 14 02:49:32 +0000 2014;422923407223574528;"Siakad unj emang media paling tepat buat menguji kesabaran (¯―¯٥)";0;0;3;0;in;71243173;422923407223574528;fadilahaeni;https://twitter.com/fadilahaeni/status/422923407223574528
Tue Jan 14 02:48:12 +0000 2014;422923071255625728;"Ikut nih, tanyain SIAKAD kok gni amat -_- @BEMUNJ_OFFICIAL BESOK ! Dialog Terbuka Balon Rektor UNJ di Gd Sertifikasi Guru lt. 8 pkl 09.-13.";0;0;1;0;in;572698513;422923071255625728;SIKAMLampungUNJ;https://twitter.com/SIKAMLampungUNJ/status/422923071255625728
Tue Jan 14 02:16:19 +0000 2014;422915049619877888;""Iyah amin! Belom, semalem buka ya gitu deh eror @asma_SN12: @nisahh_12 beasiswa unj ? Semangat! Semoga tembus yah :) udah buka siakad?"";0;1;0;0;in;225478653;422915049619877888;nisahh_12;https://twitter.com/nisahh_12/status/422915049619877888
Tue Jan 14 01:45:21 +0000 2014;422907253759295488;"Kamu unj ca? RT @chachakrs: Buka siakad susah banget sih (۳˘̩̩̩⌣˘̩̩̩)۳";0;1;0;0;in;1239174912;422907253759295488;YuanitaAmeliaa;https://twitter.com/YuanitaAmeliaa/status/422907253759295488
Tue Jan 14 01:36:21 +0000 2014;422904990470918144;"Belajar ilmua sabar, dhe :3 RT @DheaFrimaidya: Nguji kesabaran buka siakad unj ini ternyata pemirsaaaaa";0;1;0;0;in;1207317397;422904990470918144;weenesdaydairy;https://twitter.com/weenesdaydairy/status/422904990470918144
Tue Jan 14 00:50:01 +0000 2014;422893330234478593;"Keknya siakad unj pake patokan waktu Inggris kali ye... Harusnya buka tgl 14, eh mungkin udh tgl 15 di siakad inggris. Kampret. -_-";0;1;0;0;in;83060256;422893330234478593;minartio;https://twitter.com/minartio/status/422893330234478593
